2017-02-05 12:11:27,992 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 25 }
2017-02-05 12:11:27,994 [11] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 25, Duration = 00:00:00.0020330 }
2017-02-05 12:11:37,974 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 26 }
2017-02-05 12:11:37,977 [7] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 26, Duration = 00:00:00.0032092 }
2017-02-05 12:11:37,977 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 27 }
2017-02-05 12:11:37,979 [11] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 27, Duration = 00:00:00.0019842 }
2017-02-05 12:11:47,983 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 28 }
2017-02-05 12:11:47,986 [11] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 28, Duration = 00:00:00.0032690 }
2017-02-05 12:11:47,987 [11] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 29 }
2017-02-05 12:11:47,989 [7] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 29, Duration = 00:00:00.0024075 }
2017-02-05 12:11:59,072 [11] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 30 }
2017-02-05 12:11:59,077 [18] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 30, Duration = 00:00:00.0045985 }
